date,APPLE - TOT RETURN IND
31/12/2000,226.75
31/01/2001,329.65
28/02/2001,278.2
30/03/2001,336.44
30/04/2001,388.57
31/05/2001,304.12
29/06/2001,354.42
31/07/2001,286.43
31/08/2001,282.78
28/09/2001,236.43
31/10/2001,267.68
30/11/2001,324.7
31/12/2001,333.84
31/01/2002,376.83
28/02/2002,330.79
29/03/2002,360.83
30/04/2002,369.97
31/05/2002,355.19
28/06/2002,270.12
31/07/2002,232.62
30/08/2002,224.85
30/09/2002,221.04
31/10/2002,244.97
29/11/2002,236.28
31/12/2002,218.45
31/01/2003,218.9
28/02/2003,228.81
31/03/2003,215.55
30/04/2003,216.77
30/05/2003,273.63
30/06/2003,290.55
31/07/2003,321.34
29/08/2003,344.67
30/09/2003,315.86
31/10/2003,348.94
28/11/2003,318.75
31/12/2003,325.76
30/01/2004,343.9
27/02/2004,364.64
31/03/2004,412.2
30/04/2004,392.99
31/05/2004,427.75
30/06/2004,496.04
30/07/2004,492.99
31/08/2004,525.77
30/09/2004,590.71
29/10/2004,798.79
30/11/2004,1022.11
31/12/2004,981.71
31/01/2005,1172.26
28/02/2005,1367.69
31/03/2005,1270.44
29/04/2005,1099.4
31/05/2005,1212.2
30/06/2005,1122.26
29/07/2005,1300.31
31/08/2005,1429.58
30/09/2005,1634.46
31/10/2005,1755.8
30/11/2005,2067.7
30/12/2005,2191.78
31/01/2006,2302.15
28/02/2006,2088.12
31/03/2006,1912.21
28/04/2006,2146.05
31/05/2006,1822.27
30/06/2006,1746.05
31/07/2006,2071.97
31/08/2006,2068.61
29/09/2006,2346.97
31/10/2006,2471.97
30/11/2006,2794.53
29/12/2006,2586.6
31/01/2007,2613.74
28/02/2007,2579.59
30/03/2007,2832.64
30/04/2007,3042.7
31/05/2007,3694.87
29/06/2007,3720.76
31/07/2007,4017.1
31/08/2007,4221.98
28/09/2007,4678.99
31/10/2007,5791.2
30/11/2007,5555.52
31/12/2007,6039.06
31/01/2008,4126.86
29/02/2008,3811.61
31/03/2008,4375.03
30/04/2008,5303.39
30/05/2008,5754.61
30/06/2008,5104.91
31/07/2008,4846.07
29/08/2008,5168.63
30/09/2008,3465.27
31/10/2008,3280.21
28/11/2008,2825.32
31/12/2008,2602.15
30/01/2009,2747.88
27/02/2009,2722.88
31/03/2009,3204.9
30/04/2009,3836.31
29/05/2009,4140.57
30/06/2009,4342.41
31/07/2009,4981.43
31/08/2009,5128.39
30/09/2009,5650.95
30/10/2009,5746.99
30/11/2009,6094.86
31/12/2009,6424.8
29/01/2010,5855.62
26/02/2010,6238.46
31/03/2010,7164.68
30/04/2010,7960.11
31/05/2010,7831.76
30/06/2010,7668.65
30/07/2010,7843.04
31/08/2010,7411.63
30/09/2010,8650.97
29/10/2010,9176.28
30/11/2010,9486.34
31/12/2010,9834.21
31/01/2011,10345.19
28/02/2011,10768.67
31/03/2011,10625.3
29/04/2011,10674.76
31/05/2011,10604.64
30/06/2011,10233.91
29/07/2011,11904.96
31/08/2011,11732.7
30/09/2011,11625.68
31/10/2011,12340.93
30/11/2011,11652.52
30/12/2011,12347.64
31/01/2012,13917.17
29/02/2012,16537.91
30/03/2012,18279.08
30/04/2012,17804.39
31/05/2012,17613.84
29/06/2012,17805
31/07/2012,18620.85
31/08/2012,20368.43
28/09/2012,20425.54
31/10/2012,18227.61
30/11/2012,18005.3
31/12/2012,16371.54
31/01/2013,14012.5
28/02/2013,13655.89
29/03/2013,13694.88
30/04/2013,13698.59
31/05/2013,14006.66
28/06/2013,12349.63
31/07/2013,14093.71
30/08/2013,15274.37
30/09/2013,14946.27
31/10/2013,16386.87
29/11/2013,17535.04
31/12/2013,17691.13
31/01/2014,15785.86
28/02/2014,16693.14
31/03/2014,17026.22
30/04/2014,18718.56
30/05/2014,20192.09
30/06/2014,20750.64
31/07/2014,21346.83
29/08/2014,23001.41
30/09/2014,22608.71
31/10/2014,24235.64
28/11/2014,26803.77
31/12/2014,24876.82
30/01/2015,26404.86
27/02/2015,29065.04
31/03/2015,28153.21
30/04/2015,28316.12
29/05/2015,29599.19
30/06/2015,28496.15
31/07/2015,27558.96
31/08/2015,25734.41
30/09/2015,25172.99
30/10/2015,27272.64
30/11/2015,27114.88
31/12/2015,24126.05
29/01/2016,22310.75
29/02/2016,22281.07
31/03/2016,25115.46
29/04/2016,21601.27
31/05/2016,23152.23
30/06/2016,22164.56
29/07/2016,24160.77
31/08/2016,24731.4
30/09/2016,26351.41
31/10/2016,26465.62
30/11/2016,25895.38
30/12/2016,27137.19
31/01/2017,28432.9
28/02/2017,32235.59
31/03/2017,33805.13
28/04/2017,33802.77
31/05/2017,36093.58
30/06/2017,34028.53
31/07/2017,35141.39
31/08/2017,38906.5
29/09/2017,36562.62
31/10/2017,40102.16
30/11/2017,40915.84
29/12/2017,40292.04
31/01/2018,39863.48
28/02/2018,42579.48
30/03/2018,40107.71
30/04/2018,39505.31
31/05/2018,44844.08
29/06/2018,44421.73
31/07/2018,45664.79
31/08/2018,54817.6
28/09/2018,54362.46
31/10/2018,52705.62
30/11/2018,43156.01
31/12/2018,38119.78